department,year,ubigeo,iddpto,population,cases_men5,cases_60mas,hosp_men5,hosp_60mas,death_men5,death_60mas,cases_rate_men5,cases_rate_60mas,hosp_rate_men5,hosp_rate_60mas,death_rate_men5,death_rate_60mas,inc_rate_men5,inc_rate_60mas
AMAZONAS,2014,10000,1,404953,526,171,94,107,8,3,129.8916170518554,42.22712265374007,23.212570347669978,26.422819438305183,1.9755379019293597,0.7408267132235099,129.89,42.23
AMAZONAS,2015,10000,1,409091,518,163,94,102,9,0,126.62219408395687,39.84443559012542,22.977772671606072,24.933327792593825,2.19999951111122,0.0,126.62,39.84
AMAZONAS,2016,10000,1,413228,453,180,106,91,6,7,109.62471081340084,43.559487740424174,25.651698336027568,22.021741024325554,1.4519829246808058,1.6939800787942734,109.62,43.56
AMAZONAS,2017,10000,1,417365,427,232,89,155,13,3,102.30853090220789,55.586836462089536,21.324260539336073,37.13775711906844,3.1147796293412244,0.7187952990787441,102.31,55.59
AMAZONAS,2018,10000,1,419833,563,128,105,87,5,2,134.10094013572063,30.48831321025265,25.009944430285376,20.722525385093597,1.190949734775494,0.47637989391019764,134.1,30.49
AMAZONAS,2019,10000,1,423863,514,237,106,95,13,1,121.2655976105487,55.914293061673234,25.008080441085916,22.412902282105303,3.067028733340725,0.23592528718005581,121.27,55.91
AMAZONAS,2020,10000,1,426806,217,190,11,134,3,43,50.84277165738064,44.5167125110706,2.5772833559040875,31.395997244649795,0.7028954607011147,10.074834936715979,50.84,44.52
AMAZONAS,2021,10000,1,428512,251,221,17,182,5,92,58.57478903741319,51.57381823612874,3.967216787394519,42.47255619445897,1.1668284668807407,21.46964379060563,58.57,51.57
AMAZONAS,2022,10000,1,429483,377,183,66,110,5,22,87.77995869452342,42.6093698702859,15.36731372370967,25.612189539516116,1.164190433614369,5.122437907903223,87.78,42.61
AMAZONAS,2023,10000,1,429943,538,362,176,181,10,22,125.13286644973869,84.19720753681302,40.93565891292567,42.09860376840651,2.3258897109616856,5.1169573641157085,125.13,84.2
ANCASH,2000,20000,2,1009241,3143,0,707,0,62,0,311.4221479309699,0.0,70.0526435212204,0.0,6.143230407801506,0.0,311.42,0.0
ANCASH,2001,20000,2,1016986,2582,0,790,0,34,0,253.88746747742843,0.0,77.68051870920544,0.0,3.3432121976113733,0.0,253.89,0.0
ANCASH,2002,20000,2,1024732,1658,0,407,0,32,0,161.7984019236249,0.0,39.717701799104546,0.0,3.1227677090205046,0.0,161.8,0.0
ANCASH,2003,20000,2,1032477,1572,0,348,0,27,0,152.2552076220584,0.0,33.705351305646516,0.0,2.6150703599208507,0.0,152.26,0.0
ANCASH,2004,20000,2,1040223,1764,0,515,0,35,0,169.57902295950004,0.0,49.50861497967263,0.0,3.3646631539583343,0.0,169.58,0.0
ANCASH,2005,20000,2,1047968,1252,0,407,0,32,0,119.46929677242052,0.0,38.8370637271367,0.0,3.053528352010748,0.0,119.47,0.0
ANCASH,2006,20000,2,1055714,1452,22,401,8,26,0,137.5372496717861,2.0838977222997896,37.98377212010071,0.7577809899271962,2.4627882172633875,0.0,137.54,2.08
ANCASH,2007,20000,2,1063459,1258,168,262,73,26,5,118.29322992235713,15.797506062763114,24.63658683597581,6.864392515367306,2.4448521287609584,0.47016387091556894,118.29,15.8
ANCASH,2008,20000,2,1071025,1291,221,336,11,22,8,120.5387362573236,20.63443897201279,31.371816717630306,1.0270535234938494,2.0541070469876987,0.7469480170864359,120.54,20.63
ANCASH,2009,20000,2,1078590,1197,286,478,135,17,5,110.97822156704586,26.516099722786233,44.31711771850286,12.516340778238256,1.5761318017040764,0.4635681769717872,110.98,26.52
ANCASH,2010,20000,2,1086156,1156,272,536,143,14,8,106.4303838490972,25.042443258611105,49.348344068439516,13.165696271990395,1.2889492853696891,0.7365424487826795,106.43,25.04
ANCASH,2011,20000,2,1093721,863,209,412,127,7,4,78.90494925122586,19.1090780921277,37.66957021031872,11.611736448326402,0.6400169695927939,0.3657239826244536,78.9,19.11
ANCASH,2012,20000,2,1101287,763,275,451,174,4,6,69.28257575000886,24.970784182506467,40.95208605931061,15.799696173658637,0.3632114062910032,0.5448171094365047,69.28,24.97
ANCASH,2013,20000,2,1108853,968,424,518,265,9,8,87.29741453556062,38.23771049904722,46.714938770062396,23.89856906190451,0.8116495153099644,0.7214662358310795,87.3,38.24
ANCASH,2014,20000,2,1116418,538,359,260,248,3,5,48.18983570669767,32.156414532907924,23.288768185392925,22.213901961451715,0.268716555985303,0.44786092664217164,48.19,32.16
ANCASH,2015,20000,2,1123984,517,252,292,187,7,2,45.9970960440718,22.420247975060143,25.97901749491096,16.637247505302568,0.6227846659738928,0.1779384759925408,46.0,22.42
ANCASH,2016,20000,2,1131549,553,294,328,205,4,9,48.871060820167756,25.982082967684118,28.986813651021738,18.116758531888586,0.35349772745148467,0.7953698867658404,48.87,25.98
ANCASH,2017,20000,2,1139115,748,487,430,300,0,12,65.66501187325248,42.75248767683684,37.748603082217336,26.336234708523723,0.0,1.0534493883409488,65.67,42.75
ANCASH,2018,20000,2,1155451,819,596,548,405,8,11,70.88141340480904,51.58159021888423,47.42736818783315,35.05124838699348,0.6923703385085132,0.9520092154492056,70.88,51.58
ANCASH,2019,20000,2,1169522,697,729,346,526,8,6,59.596997747797815,62.33315833306256,29.5847363281751,44.975639620289314,0.6840401463161873,0.5130301097371405,59.6,62.33
ANCASH,2020,20000,2,1180638,181,532,64,293,0,13,15.330694082352084,45.060382606692315,5.420797907572008,24.817090420603098,0.0,1.101099574975564,15.33,45.06
ANCASH,2021,20000,2,1188391,233,1093,76,730,1,59,19.606341683839748,91.97309639672464,6.3952015792782,61.42759411675114,0.08414738920102895,4.964695962860708,19.61,91.97
ANCASH,2022,20000,2,1194156,599,803,192,493,3,15,50.160950495580146,67.24414565601144,16.078301327464754,41.28438830437564,0.2512234582416368,1.2561172912081837,50.16,67.24
ANCASH,2023,20000,2,1198547,903,782,362,443,7,15,75.34122566741229,65.24566829669592,30.203237753713456,36.96142078700293,0.5840405090497077,1.251515376535088,75.34,65.25
APURIMAC,2000,30000,3,393094,2769,0,401,0,17,0,704.4116674383226,0.0,102.01122377853645,0.0,4.3246653472197485,0.0,704.41,0.0
APURIMAC,2001,30000,3,394679,2173,0,351,0,14,0,550.5740107783795,0.0,88.93303165357163,0.0,3.5471864477208057,0.0,550.57,0.0
APURIMAC,2002,30000,3,396264,1692,0,333,0,19,0,426.98806856035367,0.0,84.03488583368663,0.0,4.794783275795933,0.0,426.99,0.0
APURIMAC,2003,30000,3,397849,1783,0,432,0,39,0,448.1599802940312,0.0,108.58390997589538,0.0,9.80271409504611,0.0,448.16,0.0
APURIMAC,2004,30000,3,399434,1242,0,400,0,18,0,310.9399800718016,0.0,100.14170050621631,0.0,4.506376522779734,0.0,310.94,0.0
APURIMAC,2005,30000,3,401020,1512,0,626,0,9,0,377.0385516931824,0.0,156.1019400528652,0.0,2.2442770934118,0.0,377.04,0.0
APURIMAC,2006,30000,3,402605,1351,173,502,87,5,6,335.5646353125272,42.97015685349164,124.68796959799307,21.609269631524693,1.2419120477887757,1.4902944573465307,335.56,42.97
APURIMAC,2007,30000,3,404190,1263,266,505,170,5,9,312.4768054627774,65.81063361290482,124.94124050570277,42.05942749696925,1.2370419852049779,2.22667557336896,312.48,65.81
APURIMAC,2008,30000,3,406197,1145,312,525,213,11,14,281.8829287267016,76.81002075347676,129.24763107556186,52.43761032208509,2.7080456034879625,3.4466034953483162,281.88,76.81
APURIMAC,2009,30000,3,408204,877,235,406,134,10,7,214.84355861285044,57.56925458839208,99.46007388462633,32.826723892955485,2.449755514399663,1.714828860079764,214.84,57.57
APURIMAC,2010,30000,3,410211,796,247,437,148,5,1,194.04647851959115,60.2129148170088,106.53054159932329,36.07899349359232,1.2188849153240648,0.243776983064813,194.05,60.21
APURIMAC,2011,30000,3,412218,486,82,171,38,5,3,117.89878171258898,19.892387037926536,41.48290467665167,9.21842326147815,1.2129504291418618,0.727770257485117,117.9,19.89
APURIMAC,2012,30000,3,414224,454,173,167,56,3,8,109.60253389470432,41.76484221097763,40.31635057360269,13.51925528216617,0.7242458186874735,1.9313221831665959,109.6,41.76
APURIMAC,2013,30000,3,416231,414,133,146,55,4,5,99.4639995579378,31.953410486004167,35.07667617260608,13.213816366392699,0.9610048266467418,1.2012560333084272,99.46,31.95
APURIMAC,2014,30000,3,418238,665,362,84,82,5,4,159.00037777533365,86.55358910476811,20.084258245305307,19.606061620417083,1.1954915622205537,0.956393249776443,159.0,86.55
APURIMAC,2015,30000,3,420245,339,191,108,79,2,2,80.66722983021809,45.44967816392819,25.69929445918452,18.798557984033124,0.4759128603552689,0.4759128603552689,80.67,45.45
APURIMAC,2016,30000,3,422252,337,207,129,144,4,13,79.81016075708345,49.02285838788212,30.550476966361316,34.102858008961476,0.9473016113600409,3.0787302369201326,79.81,49.02
APURIMAC,2017,30000,3,424259,306,275,110,116,6,9,72.12575337235037,64.81889600456324,25.927558401825298,27.34178886010668,1.41423045828138,2.12134568742207,72.13,64.82
